song,artist,releaseYear,wasFirst,hasYear,playCount
Hold On Loosely,.38 Special,1981,1,1,85
Caught Up in You,.38 Special,1982,1,1,82
Rockin' Into the Night,.38 Special,1980,1,1,18
Fantasy Girl,.38 Special,,1,0,3
Art For Arts Sake,10cc,1975,1,1,1
Kryptonite,3 Doors Down,2000,1,1,13
When I'm Gone,3 Doors Down,2002,1,1,6
Loser,3 Doors Down,2000,1,1,1
What's Up?,4 Non Blondes,1992,1,1,3
Take On Me,a-ha,1985,1,1,1
You Shook Me All Night Long,AC/DC,1980,1,1,138
Back In Black,AC/DC,1980,1,1,97
Highway To Hell,AC/DC,1979,1,1,92
Dirty Deeds Done Dirt Cheap,AC/DC,1976,1,1,85
Hells Bells,AC/DC,1980,1,1,74
T.N.T.,AC/DC,1975,1,1,66
For Those About To Rock,AC/DC,1981,1,1,46
Shoot To Thrill,AC/DC,,1,0,45
Have a Drink On Me,AC/DC,1980,1,1,39
It's A Long Way To The Top,AC/DC,1975,1,1,39
Thunderstruck,AC/DC,1990,1,1,34
Girls Got Rhythm,AC/DC,,1,0,24
Rock and Roll Ain't Noise Pollution,AC/DC,1980,1,1,21
Moneytalks,AC/DC,,1,0,20
Who Made Who,AC/DC,1986,1,1,12
Big Gun,AC/DC,1993,1,1,6
CAN'T STOP ROCK'N'ROLL,AC/DC,,1,0,5
Let's Get It Up,AC/DC,,1,0,4
Let There Be Rock,AC/DC,1977,1,1,3
Whole Lotta Rosie,AC/DC,1977,1,1,3
Live Wire,AC/DC,,1,0,2
Shot Down In Flames,AC/DC,1979,1,1,2
Touch Too Much,AC/DC,1979,1,1,2
What Do You Do For Money Honey,AC/DC,,1,0,2
rr,AC/DC,,1,0,1
Hard As A Rock,AC/DC,1995,1,1,1
Jailbreak,AC/DC,1984,1,1,1
Night Prowler,AC/DC,1979,1,1,1
Sin City,AC/DC,,1,0,1
How Long,Ace,1974,1,1,1
Dog On A Leash,Adelitas Way,2014,1,1,4
Dream On,Aerosmith,1973,1,1,142
Sweet Emotion,Aerosmith,1975,1,1,141
Walk This Way,Aerosmith,1975,1,1,106
Come Together,Aerosmith,,1,0,65
Rag Doll,Aerosmith,1987,1,1,47
Dude (Looks Like a Lady),Aerosmith,1987,1,1,42
Back in the Saddle,Aerosmith,1976,1,1,39
Love In An Elevator,Aerosmith,1989,1,1,35
Janie's Got A Gun,Aerosmith,1989,1,1,34
What It Takes,Aerosmith,1989,1,1,31
Livin' On The Edge,Aerosmith,1993,1,1,27
Same Old Song and Dance,Aerosmith,1974,1,1,18
Cryin',Aerosmith,1993,1,1,15
Train Kept A-Rollin',Aerosmith,1974,1,1,15
Angel,Aerosmith,1987,1,1,12
The Other Side,Aerosmith,,1,0,11
Crazy,Aerosmith,1993,1,1,7
Mama Kin,Aerosmith,1973,1,1,5
Last Child,Aerosmith,1976,1,1,4
Big Ten Inch,Aerosmith,1975,1,1,3
No More No More,Aerosmith,1975,1,1,2
Seasons of Wither,Aerosmith,1974,1,1,2
Toys in the Attic,Aerosmith,1975,1,1,2
"Baby, Please Don't Go",Aerosmith,,1,0,1
Draw The Line,Aerosmith,1977,1,1,1
Jaded,Aerosmith,2001,1,1,1
Kings and Queens,Aerosmith,,1,0,1
Let the Music Do the Talking,Aerosmith,1985,1,1,1
One Way Street,Aerosmith,,1,0,1
Pink,Aerosmith,1997,1,1,1
You See Me Crying,Aerosmith,,1,0,1
You Oughta Know,Alanis Morissette,1995,1,1,6
Hand In My Pocket,Alanis Morissette,1995,1,1,1
Black Velvet,Alannah Myles,1989,1,1,1
Fantasy,Aldo Nova,,1,0,4
School's Out,Alice Cooper,1972,1,1,44
No More Mr. Nice Guy,Alice Cooper,1973,1,1,39
I'm Eighteen,Alice Cooper,1971,1,1,24
Under My Wheels,Alice Cooper,1971,1,1,18
Welcome To My Nightmare,Alice Cooper,1975,1,1,10
Eighteen,Alice Cooper,1971,1,1,4
Billion Dollar Babies,Alice Cooper,1973,1,1,2
BE MY LOVER,Alice Cooper,,1,0,1
Elected,Alice Cooper,1973,1,1,1
House Of Fire,Alice Cooper,,1,0,1
Man In The Box,Alice In Chains,1990,1,1,13
No Excuses,Alice In Chains,1994,1,1,2
Rooster,Alice In Chains,1992,1,1,2
Them Bones,Alice In Chains,1992,1,1,2
Would?,Alice In Chains,1992,1,1,2
Down in a Hole,Alice In Chains,1992,1,1,1
Ramblin' Man,Allman Brothers Band,1973,1,1,34
Midnight Rider,Allman Brothers Band,1970,1,1,21
Jessica,Allman Brothers Band,1973,1,1,12
Melissa,Allman Brothers Band,1972,1,1,6
Whippin' Post,Allman Brothers Band,,1,0,6
Statesboro Blues,Allman Brothers Band,1971,1,1,4
No One to Run With,Allman Brothers Band,1994,1,1,3
One Way Out,Allman Brothers Band,,1,0,3
Good Clean Fun,Allman Brothers Band,1990,1,1,2
Southbound,Allman Brothers Band,,1,0,2
Ain't Wastin' Time No More,Allman Brothers Band,1972,1,1,1
Blue Sky,Allman Brothers Band,1972,1,1,1
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,1,1,1
A Horse With No Name,America,1972,1,1,26
Sister Golden Hair,America,1975,1,1,19
Ventura Highway,America,1972,1,1,1
Don't Bring Me Down,Animals II,1966,1,1,1
Don't Let Me Be Misunderstood,Animals II,1965,1,1,1
Immigrant Song,Ann Wilson,,1,0,2
Roller,April Wine,,1,0,1
Hold Your Head Up,Argent,1972,1,1,11
Coming into Los Angeles,Arlo Guthrie,,1,0,1
Wayside,Artful Dodger,,1,0,1
Heat of the Moment,Asia,1982,1,1,37
Only Time Will Tell,Asia,1982,1,1,3
So Into You,Atlanta Rhythm Section,1976,1,1,1
Spooky,Atlanta Rhythm Section,,1,0,1
Like a Stone,Audioslave,2002,1,1,1
Turn Up the Radio,Autograph,1984,1,1,21
Blondes In Black Cars,Autograph,,1,0,1
Rock And Roll Party In The Streets,Axe,,1,0,1
You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,1974,1,1,69
Takin' Care Of Business,Bachman-Turner Overdrive,1973,1,1,39
Let It Ride,Bachman-Turner Overdrive,1973,1,1,13
Roll On Down The Highway,Bachman-Turner Overdrive,,1,0,5
Feel Like Makin' Love,Bad Company,,1,0,113
Bad Company,Bad Company,1974,1,1,96
Rock 'n' Roll Fantasy,Bad Company,,1,0,91
Shooting Star,Bad Company,1975,1,1,62
Ready For Love,Bad Company,,1,0,45
Burnin' Sky,Bad Company,1977,1,1,41
Can't Get Enough,Bad Company,1974,1,1,41
Gone Gone Gone,Bad Company,,1,0,25
Movin' On,Bad Company,,1,0,17
Run With The Pack,Bad Company,,1,0,11
"Silver, Blue And Gold",Bad Company,,1,0,11
Good Lovin' Gone Bad,Bad Company,,1,0,10
Rock Steady,Bad Company,,1,0,3
Seagull,Bad Company,1974,1,1,1
When I See You Smile,Bad English,1989,1,1,1
No Matter What,Badfinger,1970,1,1,2
Walks Like A Woman,Baton Rouge,,1,0,1
(You Gotta) Fight for Your Right (To Party),Beastie Boys,1986,1,1,4
No Sleep Till Brooklyn,Beastie Boys,1986,1,1,3
Loser,Beck,1994,1,1,1
In a Big Country,Big Country,1983,1,1,2
Rock Around the Clock,Bill Haley,1955,1,1,1
AIN'T NO SUNSHINE,Bill Withers,1971,1,1,1
Rebel Yell,Billy Idol,1984,1,1,89
White Wedding,Billy Idol,1982,1,1,84
Mony Mony,Billy Idol,,1,0,21
Dancing With Myself,Billy Idol,1980,1,1,20
Cradle of Love,Billy Idol,1990,1,1,6
Eyes Without a Face,Billy Idol,1984,1,1,2
Piano Man,Billy Joel,1973,1,1,37
You May Be Right,Billy Joel,1980,1,1,30
Big Shot,Billy Joel,1978,1,1,27
Movin' Out (Anthony's Song),Billy Joel,1977,1,1,26
It's Still Rock And Roll To Me,Billy Joel,1980,1,1,22
Only The Good Die Young,Billy Joel,1977,1,1,21
My Life,Billy Joel,1978,1,1,11
Captain Jack,Billy Joel,1973,1,1,7
Miami 2017 {seen The Lights Go Out On Broadway} (live 1,Billy Joel,1976,1,1,5
The Stranger,Billy Joel,1977,1,1,5
Scenes From An Italian Restaurant,Billy Joel,1977,1,1,3
Sometimes A Fantasy,Billy Joel,1980,1,1,3
Don't Ask Me Why,Billy Joel,,1,0,2
New York State Of Mind,Billy Joel,1976,1,1,2
The Ballad Of Billy The Kid,Billy Joel,1973,1,1,2
Allentown,Billy Joel,1982,1,1,1
Goodnight Saigon,Billy Joel,1983,1,1,1
Prelude/angry Young Man,Billy Joel,,1,0,1
SHE'S ALWAYS A WOMAN,Billy Joel,1977,1,1,1
Baby Come Back,Billy Rankin,,1,0,1
The Stroke,Billy Squier,1981,1,1,83
Lonely Is the Night,Billy Squier,1981,1,1,80
Everybody Wants You,Billy Squier,,1,0,59
In the Dark,Billy Squier,,1,0,24
My Kinda Lover,Billy Squier,,1,0,22
Rock Me Tonight,Billy Squier,1984,1,1,1
She's a Runner,Billy Squier,,1,0,1
Children Of The Sun,Billy Thorpe,,1,0,2
Paranoid,Black Sabbath,1970,1,1,105
Iron Man,Black Sabbath,1972,1,1,40
War Pigs,Black Sabbath,1970,1,1,38
Sweet Leaf,Black Sabbath,1971,1,1,34
N.i.b.,Black Sabbath,1970,1,1,8
Fairies Wear Boots,Black Sabbath,1970,1,1,1
Heaven and Hell,Black Sabbath,1980,1,1,1
Neon Knights,Black Sabbath,1980,1,1,1
The Wizard,Black Sabbath,1970,1,1,1
"Train, Train",Blackfoot,1979,1,1,25
Highway Song,Blackfoot,,1,0,17
Can't Find My Way Home,Blind Faith,1969,1,1,4
Presence of the Lord,Blind Faith,1969,1,1,1
No Rain,Blind Melon,1992,1,1,2
Presence of the Lord,Blind Melon,,1,0,2
All the Small Things,Blink-182,1999,1,1,1
Call Me,Blondie,1980,1,1,26
One Way Or Another,Blondie,1978,1,1,21
Heart of Glass,Blondie,1978,1,1,11
Burnin' for You,Blue Oyster Cult,1981,1,1,107
(Don't Fear) The Reaper,Blue Oyster Cult,1976,1,1,99
Godzilla,Blue Oyster Cult,1977,1,1,9
I Love the Night,Blue Oyster Cult,1977,1,1,2
Bucks Boogie,Blue Oyster Cult,,1,0,1
Summertime Blues,Blue Oyster Cult,,1,0,1
Song 2,Blur,1997,1,1,3
Knockin' On Heaven's Door,Bob Dylan,1973,1,1,22
Tangled Up In Blue,Bob Dylan,1975,1,1,5
Like a Rolling Stone,Bob Dylan,1965,1,1,3
Positively 4th Street,Bob Dylan,1965,1,1,3
Just Like A Woman,Bob Dylan,1966,1,1,1
Subterranean Homesick Blues,Bob Dylan,1965,1,1,1
Jamming,Bob Marley,,1,0,5
One Love,Bob Marley,1977,1,1,2
Stir It Up,Bob Marley,,1,0,2
Exodus,Bob Marley,,1,0,1
"No Woman, No Cry",Bob Marley,1975,1,1,1
Three Little Birds,Bob Marley,,1,0,1
Turn The Page,Bob Seger,1973,1,1,91
Night Moves,Bob Seger,1976,1,1,47
Hollywood Nights,Bob Seger,1978,1,1,43
Old Time Rock & Roll,Bob Seger,1978,1,1,42
Against The Wind,Bob Seger,1980,1,1,39
Her Strut,Bob Seger,1980,1,1,29
Rock And Roll Never Forgets,Bob Seger,1977,1,1,24
The Fire Down Below,Bob Seger,,1,0,18
Still the Same,Bob Seger,1978,1,1,15
Ramblin' Gamblin' Man,Bob Seger,1968,1,1,12
Katmandu,Bob Seger,1975,1,1,7
Mainstreet,Bob Seger,1977,1,1,7
Feel Like a Number,Bob Seger,,1,0,6
Roll Me Away,Bob Seger,,1,0,5
Sunspot Baby,Bob Seger,,1,0,5
Come to Poppa,Bob Seger,,1,0,4
Travelin' Man,Bob Seger,,1,0,4
Horizontal Bop,Bob Seger,,1,0,2
Betty Lou's Gettin' Out Tonigh,Bob Seger,,1,0,1
Fire Down Below,Bob Seger,1977,1,1,1
Get Out of Denver,Bob Seger,,1,0,1
Turn On Your Love Light,Bob Seger,,1,0,1
We've Got Tonite,Bob Seger,1978,1,1,1
You'll Accompany Me,Bob Seger,,1,0,1
Hypnotized,Bob Welch,,1,0,2
Wanted Dead or Alive,Bon Jovi,1986,1,1,87
Livin' On A Prayer,Bon Jovi,1986,1,1,74
You Give Love A Bad Name,Bon Jovi,1986,1,1,63
Runaway,Bon Jovi,1984,1,1,41
Blaze of Glory,Bon Jovi,1990,1,1,8
Bad Medicine,Bon Jovi,1988,1,1,7
Lay Your Hands On Me,Bon Jovi,1988,1,1,2
She Don't Know Me,Bon Jovi,,1,0,2
Born To Be My Baby,Bon Jovi,1989,1,1,1
Raise Your Hands,Bon Jovi,,1,0,1
Wait For You,Bonham,,1,0,1
Green Onions,Booker T. and the MG's,1962,1,1,4
More Than a Feeling,Boston,1976,1,1,134
Peace of Mind,Boston,1976,1,1,132
Foreplay (Long Time),Boston,1976,1,1,94
Don't Look Back,Boston,1978,1,1,86
Rock & Roll Band,Boston,1976,1,1,59
Feelin' Satisfied,Boston,,1,0,44
Smokin',Boston,1976,1,1,33
Something About You,Boston,,1,0,26
Let Me Take You Home Tonight,Boston,1976,1,1,22
Hitch A Ride,Boston,1976,1,1,11
Party,Boston,,1,0,7
Amanda,Boston,1986,1,1,4
Cool The Engines,Boston,,1,0,4
A Man I'll Never Be,Boston,,1,0,1
The Journey/It's Easy,Boston,,1,0,1
Used To Bad News,Boston,,1,0,1
We're Ready,Boston,,1,0,1
Lido Shuffle,Boz Scaggs,1976,1,1,11
Lowdown,Boz Scaggs,1976,1,1,1
Tarkio Road,Brewer & Shipley,,1,0,1
The Way It Is,Bruce Hornsby & The Range,1986,1,1,7
Born To Run,Bruce Springsteen,1975,1,1,31
Glory Days,Bruce Springsteen,1984,1,1,21
Born In the U.S.A.,Bruce Springsteen,1984,1,1,14
I'm On Fire,Bruce Springsteen,1984,1,1,14
Dancing In the Dark,Bruce Springsteen,1984,1,1,10
Pink Cadillac,Bruce Springsteen,1984,1,1,9
Hungry Heart,Bruce Springsteen,1980,1,1,7
Thunder Road,Bruce Springsteen,1975,1,1,7
Rosalita (Come Out Tonight),Bruce Springsteen,1973,1,1,5
Spirit In The Night,Bruce Springsteen,1973,1,1,5
Tenth Avenue Freeze-Out,Bruce Springsteen,1975,1,1,4
Badlands,Bruce Springsteen,1978,1,1,2
Jungleland,Bruce Springsteen,1975,1,1,2
Prove It All Night,Bruce Springsteen,1978,1,1,2
Atlantic City,Bruce Springsteen,1982,1,1,1
Backstreets,Bruce Springsteen,1975,1,1,1
Blinded By the Light,Bruce Springsteen,1973,1,1,1
Cover Me,Bruce Springsteen,1984,1,1,1
Growin' Up,Bruce Springsteen,1973,1,1,1
It's Hard to Be a Saint in the City,Bruce Springsteen,1973,1,1,1
Jersey Girl,Bruce Springsteen,,1,0,1
Racing in the Streets,Bruce Springsteen,1978,1,1,1
She's The One,Bruce Springsteen,1975,1,1,1
Summer Of '69,Bryan Adams,1984,1,1,52
Run to You,Bryan Adams,1984,1,1,42
Cuts Like a Knife,Bryan Adams,1983,1,1,17
Heaven,Bryan Adams,1984,1,1,4
Somebody,Bryan Adams,1984,1,1,1
Sorry,Buckcherry,2007,1,1,1
For What It's Worth,Buffalo Springfield,1966,1,1,40
Rock & Roll Woman,Buffalo Springfield,,1,0,21
Mr. Soul,Buffalo Springfield,1967,1,1,1
Comedown,Bush,1994,1,1,5
Machinehead,Bush,1994,1,1,3
Far Behind,Candlebox,1993,1,1,3
Goin' up the Country,Canned Heat,1968,1,1,2
On the Road Again,Canned Heat,1968,1,1,1
IT'S TOO LATE,Carole King,1971,1,1,1
WILD WORLD,Cat Stevens,1971,1,1,2
Oh Very Young,Cat Stevens,,1,0,1
The Devil Went Down To Georgia,Charlie Daniels Band,1979,1,1,25
Long Haired Country Boy,Charlie Daniels Band,1975,1,1,5
Uneasy Rider,Charlie Daniels Band,1973,1,1,2
In America,Charlie Daniels Band,1980,1,1,1
The Legend Of Wooley Swamp,Charlie Daniels Band,,1,0,1
The South's Gonna Do It Again,Charlie Daniels Band,1975,1,1,1
I Want You to Want Me,Cheap Trick,1977,1,1,110
Surrender,Cheap Trick,1978,1,1,57
Ain't That a Shame,Cheap Trick,,1,0,8
Dream Police,Cheap Trick,,1,0,5
She's Tight,Cheap Trick,,1,0,1
Take Out The Gunman,Chevelle,2014,1,1,4
25 Or 6 To 4,Chicago,1970,1,1,14
Feeling Stronger Every,Chicago,1973,1,1,2
Saturday In the Park,Chicago,1972,1,1,2
Beginnings,Chicago,,1,0,1
I'm a Man,Chicago,,1,0,1
JUST YOU AND ME,Chicago,,1,0,1
Make Me Smile,Chicago,1970,1,1,1
Questions 67 and 68,Chicago,1969,1,1,1
South California Purples,Chicago,,1,0,1
JOHNNY B. GOODE,Chuck Berry,1958,1,1,2
Nobody's Fool,Cinderella,1986,1,1,9
Don't Know What You Got,Cinderella,1988,1,1,3
Coming Home,Cinderella,1988,1,1,1
Gypsy Road,Cinderella,1988,1,1,1
Somebody Save Me,Cinderella,1986,1,1,1
The River,Clarks,,1,0,5
Cigarette,Clarks,,1,0,4
Better Off Without You,Clarks,,1,0,2
Born Too Late,Clarks,,1,0,2
Maybe,Clarks,,1,0,2
Hey You,Clarks,,1,0,1
Penny On The Floor,Clarks,,1,0,1
Shine,Collective Soul,1993,1,1,20
December,Collective Soul,,1,0,8
The World I Know,Collective Soul,1995,1,1,1
Hot Rod Lincoln,Commander Cody,1971,1,1,2
Monkey Bars,Coney Hatch,,1,0,1
Mr. Jones,Counting Crows,1993,1,1,2
Low,Cracker,1993,1,1,2
White Room,Cream,1968,1,1,68
Crossroads,Cream,1968,1,1,22
Badge,Cream,1969,1,1,13
Sunshine of Your Love,Cream,1967,1,1,11
Born Under A Bad Sign,Cream,,1,0,9
I'm So Glad,Cream,1966,1,1,1
Tales Of Brave Ulysses,Cream,1967,1,1,1
Higher,Creed,1999,1,1,4
My Sacrifice,Creed,,1,0,2
With Arms Wide Open,Creed,1999,1,1,1
Have You Ever Seen the Rain?,Creedence Clearwater Revival,1971,1,1,57
Proud Mary,Creedence Clearwater Revival,1969,1,1,48
Fortunate Son,Creedence Clearwater Revival,1970,1,1,33
Bad Moon Rising,Creedence Clearwater Revival,1969,1,1,32
Down On the Corner,Creedence Clearwater Revival,1969,1,1,30
Born On the Bayou,Creedence Clearwater Revival,1969,1,1,25
Who'll Stop the Rain,Creedence Clearwater Revival,1970,1,1,24
Lookin' Out My Back Door,Creedence Clearwater Revival,1970,1,1,20
Run Through the Jungle,Creedence Clearwater Revival,1970,1,1,14
Travelin' Band,Creedence Clearwater Revival,1970,1,1,12
Up Around the Bend,Creedence Clearwater Revival,1970,1,1,10
I Heard It Through the Grapevine,Creedence Clearwater Revival,,1,0,8
Suzie Q,Creedence Clearwater Revival,1968,1,1,8
Lodi,Creedence Clearwater Revival,1969,1,1,5
Green River,Creedence Clearwater Revival,1969,1,1,3
Commotion,Creedence Clearwater Revival,,1,0,1
Sweet Hitch Hiker,Creedence Clearwater Revival,1971,1,1,1
The Midnight Special,Creedence Clearwater Revival,,1,0,1
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",1969,1,1,10
Southern Cross,"Crosby, Stills & Nash",1982,1,1,9
Fire Woman,"Crosby, Stills & Nash",,1,0,1
Helplessly Hoping,"Crosby, Stills & Nash",1969,1,1,1
Long Time Gone,"Crosby, Stills & Nash",1969,1,1,1
Woodstock,"Crosby, Stills, Nash & Young",1970,1,1,37
Carry On,"Crosby, Stills, Nash & Young",1970,1,1,6
Ohio,"Crosby, Stills, Nash & Young",1970,1,1,6
(I Just) Died in Your Arms,Cutting Crew,1986,1,1,3
High Enough,Damn Yankees,1990,1,1,1
I HEAR YOU KNOCKING,Dave Edmunds,1970,1,1,1
Headkeeper,Dave Mason,,1,0,1
Only You Know And I Know,Dave Mason,,1,0,1
We Just Disagree,Dave Mason,1977,1,1,1
Welcome To The Boomtown,David & David,1986,1,1,1
Fame,David Bowie,1975,1,1,59
Space Oddity,David Bowie,1969,1,1,47
Rebel Rebel,David Bowie,1974,1,1,43
Changes,David Bowie,1971,1,1,33
Young Americans,David Bowie,1975,1,1,26
Let's Dance,David Bowie,1983,1,1,20
Suffragette City,David Bowie,1972,1,1,18
Fashion,David Bowie,1980,1,1,17
Golden Years,David Bowie,1975,1,1,10
Modern Love,David Bowie,1983,1,1,10
Ziggy Stardust,David Bowie,1972,1,1,7
China Girl,David Bowie,1983,1,1,5
Jean Genie,David Bowie,,1,0,5
Heroes,David Bowie,1977,1,1,3
Diamond Dogs,David Bowie,1974,1,1,1
Friday on My Mind,David Bowie,,1,0,1
Panic in Detroit,David Bowie,,1,0,1
Starman,David Bowie,1972,1,1,1
Stay,David Bowie,,1,0,1
Rock On,David Essex,1974,1,1,33
There's No Way Out Of Here,David Essex,,1,0,1
There's No Way Out Of Here,David Gilmour,,1,0,3
Frenchette,David Johansen,,1,0,1
Just A Gigolo / I Ain't Got Nobody,David Lee Roth,1985,1,1,8
Yankee Rose,David Lee Roth,1986,1,1,8
California Girls,David Lee Roth,,1,0,2
Smoke On The Water,Deep Purple,1972,1,1,43
Woman From Tokyo,Deep Purple,,1,0,42
Highway Star,Deep Purple,1972,1,1,22
Space Truckin',Deep Purple,,1,0,22
Hush,Deep Purple,1968,1,1,14
Kentucky Woman,Deep Purple,1968,1,1,2
Perfect Strangers,Deep Purple,,1,0,2
Burn,Deep Purple,1974,1,1,1
Child In Time,Deep Purple,1970,1,1,1
Knocking At Your Backdoo,Deep Purple,1984,1,1,1
Lazy,Deep Purple,1972,1,1,1
Photograph,Def Leppard,1983,1,1,88
Foolin',Def Leppard,,1,0,71
Pour Some Sugar On Me,Def Leppard,1987,1,1,70
Rock of Ages,Def Leppard,1983,1,1,65
Animal,Def Leppard,1987,1,1,35
Bringin' On The Heartbreak,Def Leppard,,1,0,35
Too Late for Love,Def Leppard,,1,0,27
Love Bites,Def Leppard,1987,1,1,25
Hysteria,Def Leppard,1987,1,1,24
Armageddon It,Def Leppard,1987,1,1,23
Rocket,Def Leppard,1987,1,1,15
On Through The Night,Def Leppard,,1,0,1
Rock Rock,Def Leppard,,1,0,1
Enjoy the Silence,Depeche Mode,1990,1,1,2
Layla,Derek & The Dominos,1970,1,1,99
Bell Bottom Blues,Derek & The Dominos,1970,1,1,4
Have You Ever Loved a Woman,Derek & The Dominos,,1,0,1
Recognition,Detective,,1,0,1
ANGELOS,Dick Siegel,,1,0,1
Rainbow In the Dark,Dio,,1,0,22
The Last In Line,Dio,,1,0,18
Holy Diver,Dio,,1,0,7
Sultans of Swing,Dire Straits,1978,1,1,79
Money for Nothing,Dire Straits,1985,1,1,56
So Far Away,Dire Straits,1985,1,1,25
Industrial Disease,Dire Straits,1982,1,1,21
Walk of Life,Dire Straits,1985,1,1,15
Brothers In Arms,Dire Straits,1985,1,1,14
Down To The Waterline,Dire Straits,1978,1,1,12
Expresso Love,Dire Straits,1980,1,1,10
Romeo And Juliet,Dire Straits,1980,1,1,8
Solid Rock,Dire Straits,,1,0,4
Lady Writer,Dire Straits,1979,1,1,2
Counting Blue Cars,Dishwalla,1995,1,1,3
Drift Away,Dobie Gray,1973,1,1,22
In My Dreams,Dokken,,1,0,4
Alone Again,Dokken,,1,0,1
Into The Fire,Dokken,,1,0,1
Heavy Metal,Don Felder,1981,1,1,12
The Boys Of Summer,Don Henley,1985,1,1,73
Dirty Laundry,Don Henley,1982,1,1,37
The Heart of the Matter,Don Henley,1989,1,1,11
All She Wants to Do Is Dance,Don Henley,1985,1,1,10
Sunset Grill,Don Henley,1985,1,1,6
The Last Worthless Evening,Don Henley,,1,0,1
American Pie,Don McLean,1971,1,1,21
Ah! Leah!,Donnie Iris,1980,1,1,13
Love Is Like A Rock,Donnie Iris,1981,1,1,1
Season of the Witch,Donovan,1966,1,1,1
Sunshine Superman,Donovan,1966,1,1,1
COVER OF THE ROLLING STONE,Dr. Hook & the Medicine Show,,1,0,2
Right Place Wrong Time,Dr. John,1973,1,1,2
"Anything, Anything",Dramarama,,1,0,2
Rio,Duran Duran,1982,1,1,1
Hotel California,Eagles,1976,1,1,109
Life in the Fast Lane,Eagles,1976,1,1,86
Take It Easy,Eagles,1972,1,1,75
Already Gone,Eagles,1974,1,1,71
The Long Run,Eagles,1979,1,1,50
One of These Nights,Eagles,1975,1,1,48
In The City,Eagles,1979,1,1,44
Take It to the Limit,Eagles,1975,1,1,39
Heartache Tonight,Eagles,1979,1,1,30
Lyin' Eyes,Eagles,1975,1,1,27
Peaceful Easy Feeling,Eagles,1972,1,1,16
Seven Bridges Road,Eagles,1980,1,1,14
Those Shoes,Eagles,1979,1,1,14
Witchy Woman,Eagles,1972,1,1,14
Desperado,Eagles,1973,1,1,5
Victim of Love,Eagles,1976,1,1,5
Tequila Sunrise,Eagles,1973,1,1,4
The Best of My Love,Eagles,1974,1,1,4
I Can't Tell You Why,Eagles,1979,1,1,2
New Kid In Town,Eagles,1976,1,1,2
Two Tickets To Paradise,Eddie Money,,1,0,59
Shakin',Eddie Money,,1,0,56
Take Me Home Tonight,Eddie Money,1986,1,1,35
Baby Hold On,Eddie Money,1977,1,1,26
Think I'm In Love,Eddie Money,,1,0,22
Gimme Some Water,Eddie Money,,1,0,8
Frankenstein,Edgar Winter Group,,1,0,58
Free Ride,Edgar Winter Group,1973,1,1,26
WAR,Edwin Starr,1970,1,1,2
Don't Bring Me Down,Electric Light Orchestra,1979,1,1,85
Evil Woman,Electric Light Orchestra,1975,1,1,42
Do Ya,Electric Light Orchestra,,1,0,27
Fire On High,Electric Light Orchestra,1975,1,1,18
Livin' Thing,Electric Light Orchestra,1976,1,1,12
Strange Magic,Electric Light Orchestra,1985,1,1,5
Turn To Stone,Electric Light Orchestra,1978,1,1,5
Roll Over Beethoven,Electric Light Orchestra,,1,0,3
Sweet Talkin' Woman,Electric Light Orchestra,1978,1,1,3
CAN'T GET IT OUT OF MY HEAD,Electric Light Orchestra,1974,1,1,1
Telephone Line,Electric Light Orchestra,,1,0,1
Rocket Man,Elton John,1972,1,1,68
Bennie And The Jets,Elton John,1973,1,1,62
Tiny Dancer,Elton John,1971,1,1,51
Saturday Night's Alright for Fighting,Elton John,1973,1,1,34
Goodbye Yellow Brick Road,Elton John,1973,1,1,27
Your Song,Elton John,1970,1,1,17
Candle in the Wind,Elton John,1973,1,1,14
Levon,Elton John,1971,1,1,8
Crocodile Rock,Elton John,1972,1,1,7
Funeral for a Friend (Love Lies Bleeding),Elton John,1973,1,1,5
DANIEL,Elton John,1973,1,1,4
Someone Saved My Life Tonight,Elton John,1975,1,1,4
Honky Cat,Elton John,1972,1,1,2
All The Girls Love Alice,Elton John,1973,1,1,1
Captain Fantastic,Elton John,1975,1,1,1
Don't Let The Sun Go Down On Me,Elton John,1974,1,1,1
Harmony,Elton John,1973,1,1,1
Madman Across The Water,Elton John,1971,1,1,1
Take Me to the Pilot,Elton John,,1,0,1
Teacher I Need You,Elton John,,1,0,1
THE BITCH IS BACK,Elton John,1974,1,1,1
Where To Now St. Peter,Elton John,1970,1,1,1
Fooled around and Fell in Love,Elvin Bishop,1975,1,1,1
Alison,Elvis Costello,1977,1,1,13
Veronica,Elvis Costello,1989,1,1,8
Pump It Up,Elvis Costello,1978,1,1,3
Karn Evil 9,"Emerson, Lake & Palmer",1973,1,1,11
Lucky Man,"Emerson, Lake & Palmer",1970,1,1,8
From the Beginning,"Emerson, Lake & Palmer",1972,1,1,1
Hoedown,"Emerson, Lake & Palmer",,1,0,1
Still You Turn Me On,"Emerson, Lake & Palmer",1973,1,1,1
Cocaine,Eric Clapton,1977,1,1,84
I Shot The Sheriff,Eric Clapton,1974,1,1,39
Let It Rain,Eric Clapton,1970,1,1,24
After Midnight,Eric Clapton,1970,1,1,16
Knockin' On Heaven's Door,Eric Clapton,,1,0,16
Wonderful Tonight,Eric Clapton,1977,1,1,15
